reference_type,author,year,title,keyword,abstract
thesis,"Walker Driesel, D. ",2013,Mathematics Interventions: A Correlational Study of the Relationship between Level of Implementation of the Accelerated Math Program and Student Achievement,Mathematics Instruction.//Acceleration (Education).//Intervention.//Mathematics Achievement.//Response to Intervention.//Correlation.//Pretests Posttests.//Mathematics Tests.//Scores.//Computer Assisted Instruction.//Public Schools.//Achievement Gap.//Program Implementation.//Time Factors (Learning).//Time on Task.//Rural Schools.//Achievement Gains.//Student Participation.//Teacher Evaluation.//Mathematics Anxiety.//Stereotypes.//Arkansas,"Current legislation, such as No Child Left Behind (2001) or the Individuals with Disabilities Education Act (2004), has increased accountability for schools for the education of all students. These laws require schools to provide interventions for struggling learners, as part of the Response to Intervention process (IDEA, 2004). Accelerated Math (AM), published by Renaissance Learning, is a scientifically based program designed to supplement quality instruction as part of the Response to Intervention process. This correlational study examined ex post facto data using pre and posttest scores on the STAR Math Test in relation to amount of classroom time dedicated to AM instruction This computer-based program was examined as part of the existing school day, in public school systems in the rural Arkansas area. The results of the study showed a strong correlation between the amount of time and student performance and a decrease in the achievement gap when AM is implemented. Some concerns were noted about lower student gains in older grades and lack of participation in younger grades. Several reasons were explored for this issue, including teacher evaluation, math anxiety, and stereotypes. Findings from the study may help streamline instructional strategies and processes, and improve teacher effectiveness and evaluation procedures for mathematics instruction of all students. "
journal_article,"Adams, K., & Cook, A. ",2014,Access to hands-on mathematics measurement activities using robots controlled via speech generating devices: three case studies,Communication Aids for Disabled*.//Educational Technology*.//Mathematics*.//Robotics*.//Cerebral Palsy/*rehabilitation.//Communication Disorders/*rehabilitation.//Adolescent.//Cerebral Palsy/physiopathology.//Cerebral Palsy/psychology.//Child.//Communication Disorders/physiopathology.//Communication Disorders/psychology.//Educational Measurement.//Female.//Humans.//Male.//Psychomotor Performance.//Augmentative and alternative communication.//Lego robots.//mathematics skills,"Purpose: To examine how using a robot controlled via a speech generating device influences the ways students with physical and communication limitations can demonstrate their knowledge in math measurement activities.; Method: Three children with severe physical disabilities and complex communication needs used the robot and speech generating device system to perform four math measurement lessons in comparing, sorting and ordering objects. The performance of the participants was measured and the process of using the system was described in terms of manipulation and communication events. Stakeholder opinions were solicited regarding robot use.; Results: Robot use revealed some gaps in the procedural knowledge of the participants. Access to both the robot and speech generating device was shown to provide several benefits. Stakeholders thought the intervention was important and feasible for a classroom environment.; Conclusions: The participants were able to participate actively in the hands-on and communicative measurement activities and thus meet the demands of current math instruction methods.; Implications for Rehabilitation: Current mathematics pedagogy encourages doing hands-on activities while communicating about concepts. Adapted Lego robots enabled children with severe physical disabilities to perform hands-on length measurement activities. Controlling the robots from speech generating devices enabled the children, who also had complex communication needs, to reflect and report on results during the activities. By using the robots combined with speech generating devices, children both exhibited their knowledge of and experienced the concepts of mathematical measurements."
journal_article,"Akpan, J. P., & Beard, L. A. ",2014,Assistive Technology and Mathematics Education,Assistive Technology.//Technology Uses in Education.//Mathematics Instruction.//Teaching Methods.//English Language Learners.//At Risk Students.//Academically Gifted.//Disabilities.//Educational Technology.//Simulation.//Video Games.//Educational Games.//Content Area Writing.//Financial Support,"Educators and caregivers now have the opportunity to individualize and differentiate instructions with many technological devices never before available. Assistive Technology is being introduced in the classroom at all levels as a tool for teachers to help deliver instruction to all students. Assistive Technology is widely used to ensure appropriate educational opportunities to all students, including ELL students, students at risk, and students being considered as gifted and talented. The purpose of this article is to describe various assistive technology devices as mathematics tools to help all struggling students, not just students with disabilities, overcome math difficulties."
thesis,"Amaker, H. T. ",2014,"The impact of educational technology, Interactive Whiteboard, on elementary education self-contained special education student performance in english language arts and mathematics in a rural district in South Carolina",educational technology.//elementary education.//special education student.//students performance.//english language.//arts.//mathematics.//Academic Achievement.//Language.//Special Education Students.//Technology.//Mathematics Education,"This study explored the impact of technology, in general the Interactive Whiteboard, on the summative student performance of elementary students in special education. The study compared the performance of students in the learning disabilities self-contained classrooms before and after the implementation of the Interactive Whiteboard. The research was conducted within a rural school district in South Carolina. The participants included 5th grade students that have learning disabilities, are taught in self-contained classrooms, and are eligible to participate in the standardized testing. The researcher collected qualitative data to include demographical, student information, and summative, English Language Arts and mathematics PASS scores. The principal, convergent theme within American educational settings is the improvement of educational quality and the subsequent learning of children (U.S. Department of Education, 2012). Since 2002, the No Child Left Behind Act (NCLB) has mandated rigorous, evidence-based educational practices for levels of K-12 education. However, these two focal points (quality and learning) have led to political and social debate as to their definition and conceptual ideology. This holds particularly true as interpretations of the term 'quality' and its relative meaning to each level of education and the demographical and learning styles and difficulties of children. Technology has now become more and more the medium in which teachers attempt to level the playing. field of ever increasing accountability and diminishing and/or limited resources (Leonard, Noh and Orey, 2007). The SAS 9.1 software was used to calculate descriptive statics involving mean, median, and standard deviation for the dependent variable (standardized test scores) to generate a statistical descriptive analysis. An independent t-test and an analysis of variance (AVONA) were also used to test the six hypotheses to determine if statistical differences exist. The independent t-tests were utilized to compare cohorts before and after implementation of the Interactive Whiteboard to determine if mean scores in the given areas were significantly different. ANOVAs (analysis of variance) examined the impacts of Interactive Whiteboard usage to determine if significant differences in summative assessment results of the performance of students with disabilities between and within cohorts based upon gender and racial ethnicity indicators. The results of the study indicated that the Interactive Whiteboard is an effective tool in enhancing the learning of Learning Disabled self-contained student. Results from independent t-tests yielded significant differences in academic performance when comparing English Language Arts and Mathematics PASS examination scores of students who were assessed after Interactive Whiteboard implementation to those before to implementation. The results of the ANOVA (analysis of variance) indicated significant differences between cohorts based upon gender and racial ethnicity. "
journal_article,"Bottge, B. A., Ma, X., Gassaway, L., Butler, M., & Toland, M. D.",2014,Detecting and Correcting Fractions Computation Error Patterns,Instructional systems.//Mathematical ability research.//Education of students with disabilities.//Middle school students.//Study & teaching of fractions.//Errors.//Problem solving in children,This article describes a follow-up analysis of findings from a randomized study that tested the efficacy of a blended version of Enhanced anchored Instruction designed to improve both the computation and problem-solving performances of middle school students with disabilities. The goals of the secondary analysis were to track overall error patterns of students in computing with fractions and to compare the effects of Enhanced anchored Instruction and Business As Usual (BAU) on making these errors. Results showed that students taught with Enhanced anchored Instruction reduced their errors compared to students in BAU classrooms and that reducing the one common error led to improved performance. Error pattern analysis provided clues about how to modify instructional materials for improving computation with fractions. 
journal_article,"Bottge, B. A., Ma, X., Gassaway, L., Toland, M. D., Butler, M., & Cho, S.-J. ",2014,Effects of Blended Instructional Models on Math Performance,BLENDED learning.//EDUCATION of students with disabilities.//ACADEMIC achievement research.//TEACHING methods.//CURRICULUM planning.//MATHEMATICS education.//SPECIAL education research,"A pretest-posttest cluster-randomized trial involving 31 middle schools and 335 students with disabilities tested the effects of combining explicit and anchored instruction on fraction computation and problem solving. Results of standardized and researcher-developed tests showed that students who were taught with the blended units outscored students in Business As Usual classes. Students made the largest gains in computing with fractions and on problems related to ratios, proportions, and geometry. The findings suggest important implications for the way curriculum is designed for middle school students with disabilities who exhibit low performance in math. "
journal_article,"Bouck, E. C., & Weng, P. L.",2014,Hearing Math: Algebra Supported eText for Students With Visual Impairments,Audiovisual Aids*.//Computer-Assisted Instruction*/instrumentation.//Computer-Assisted Instruction*/methods.//self-Help Devices*.//Mathematics/*education.//Visually Impaired Persons/*rehabilitation.//Adolescent.//Adult.//Female.//Humans.//Male.//Textbooks as Topic.//Young Adult.//disability*.//eText*.//mathematics*.//visual impairment*,"Supported eText for students with visual impairments in mathematics has a promising, emerging literature base, although little of the existing research focuses on implementation within a classroom setting. This qualitative study sought to understand the use of supported eText to deliver algebra to students with visual impairments enrolled in algebra mathematics courses. The study also sought to explore supported eText in contrast to students' traditional means of accessing an algebra text. The main results suggest supported eText holds potential in terms of delivering mathematics content; however, more research and more reflection on the field is needed regarding this approach as a sole means of presenting text. Implications for teacher professional development and implementation practices are discussed."
journal_article,"Bouck, E. C., & Weng, P. L.",2014,Reading Math: A Comparison of Reading and Listening to Algebraic Problems,Electronic textbooks.//Students with visual disabilities.//Algebra education in secondary schools.//Educational technology research.//Secondary education research,"Digital text is being used in elementary and secondary education for students with and without disabilities, but without much consideration as to its impact on student outcomes. This single-subject alternating treatment design sought to understand how the performance of three secondary students with visual impairments was impacted by accessing algebra via a digital textbook in comparison to accessing it via a traditional textbook. The main findings of this study suggested that (a) students tended to solve the algebra equations better when they were presented via their traditional textbook; (b) task completion was longer for all three students when using the digital textbook, although the amount of time differed across students; and (C) two of the three students preferred their traditional textbook and one preferred the digital textbook. The results hold implications for the implementation of digital text in mathematics for students with disabilities and suggest that continued research is needed. "
journal_article,"Bouck, E. C., Satsangi, R., Doughty, T. T., & Courtney, W. T.",2014,Virtual and concrete manipulatives: a comparison of approaches for solving mathematics problems for students with autism spectrum disorder,"Mathematics*.//Problem Solving*.//Students*.//Child Development Disorders, Pervasive/*physiopathology.//Child.//Humans.//Learning Disabilities/physiopathology.//Male","Students with autism spectrum disorder are included in general education classes and expected to participate in general education content, such as mathematics. Yet, little research explores academically-based mathematics instruction for this population. This single subject alternating treatment design study explored the effectiveness of concrete (physical objects that can be manipulated) and virtual (three-dimensional objects from the Internet that can be manipulated) manipulatives to teach single- and double-digit subtraction skills. Participants in this study included three elementary-aged students (ages ranging from 6 to 10) diagnosed with autism spectrum disorder. Students were selected from a clinic-based setting, where all participants received medically necessary intensive services provided via one-to-one, trained therapists. Both forms of manipulatives successfully assisted students in accurately and independently solving subtraction problem. However, all three students demonstrated greater accuracy and faster independence with the virtual manipulatives as compared to the concrete manipulatives. Beyond correctly solving the subtraction problems, students were also able to generalize their learning of subtraction through concrete and virtual manipulatives to more real-world applications."
thesis,"Butler, M. D. ",2014,The effects of embedding formative assessment measures in a problem-based learning mathematics curriculum for middle school students,formative assessment measures.//problem-based learning.//mathematics curriculum.//middle school students.//Curriculum Development.//Mathematics Education.//Problem Based Learning.//Formative Assessment,"Student performance in the area of mathematics is a topic of national concern in the United States, with several reports documenting the need for effective instruction to boost student achievement. However, what type of math instruction will most effectively raise student achievement for students with disabilities (students with disabilities) remains a matter of debate. Problem-based learning is a promising methodology for engaging and motivating students' learning while increasing their math skills. Enhanced anchored Instruction is a form of problem-based learning, rooted in a constructivist framework, which guides students through complex problems through video anchors and context rich environments that has been shown to significantly improve math performance of students with disabilities. Assessing student performance during Problem-based learning units is often difficult. Formative assessments supplement curriculum by allowing teachers to gather information and assess student learning during the course of instruction. However, despite the rise in formative assessment use, the effects of formative assessment in Problem-based learning curricula are rarely addressed. This study examined the effect of embedding formative assessments in the Enhanced anchored Instruction curriculum on academic outcomes in middle school math classrooms. Results showed that problem solving performance did not improve with the addition of formative assessment and gains on computation performance were mixed. "
journal_article,"Castro, M. V. D., Bissaco, M. A. S., Panccioni, B. M., Rodrigues, S. C. M., & Domingues, A. M. ",2014,Effect of a Virtual Environment on the Development of Mathematical Skills in Children with Dyscalculia,virtual reality.//DEVELOPMENTAL biology.//MATHEMATICAL models.//ACALCULIA.//VIDEO games.//EXPERIMENTAL groups.//INTELLECTUAL development.//TEACHING methods.//Arithmetic.//Biology and life sciences.//Cognitive neuroscience.//Computer and information sciences.//Computer applications.//Computer software.//Learning and memory.//Learning disabilities.//Mathematics.//Neuroscience.//Physical sciences.//Research Article.//Software development.//Software engineering.//Systems software.//Web-based applications,"In this study, we show the effectiveness of a virtual environment comprising 18 computer games that cover mathematics topics in a playful setting and that can be executed on the Internet with the possibility of player interaction through chat. An arithmetic pre-test contained in the Scholastic Performance Test was administered to 300 children between 7 and 10 years old, including 162 males and 138 females, in the second grade of primary school. Twenty-six children whose scores showed a low level of mathematical knowledge were chosen and randomly divided into the control (CG) and experimental (EG) groups. The EG participated to the virtual environment and the CG participated in reinforcement using traditional teaching methods. Both groups took a post-test in which the Scholastic Performance Test (SPT) was given again. A statistical analysis of the results using the Student's t-test showed a significant learning improvement for the EG and no improvement for the CG (p?0.05). The virtual environment allows the students to integrate thought, feeling and action, thus motivating the children to learn and contributing to their intellectual development. "
journal_article,"Gliga, F., & Ivanescu, A.",2014,COMPUTER TRAINING OF APPROXIMATE NUMBER SYSTEM COULD IMPROVE MATH ABILITIES,Computer training.//Students.//Video games.//Quality of life.//Learning disabilities.//Approximation theory,"The number of students diagnosed with Specific Learning Disabilities with Math has been estimated to be 6%. These students face daily challenges related to their disability and as a result have a reduced quality of life. According with Dehaene' triple code theory (1992), the Approximate Number System plays an important role and is related with math ability / disability. This study describes a computer game for training Approximate Number System, which can improve appropriate math abilities. We hypothesize that the daily use of this game by children at risk for Specific Learning Disabilities with Math, together with other types of interventions directed at memory or visual-spatial orientation, will help improve their Approximate Number System, their ability to manipulate symbolic and non-symbolic quantities and finally their math performances. "
journal_article,"Gorlewicz, J. L., Burgner, J., Withrow, T. J., & Webster III, R. J.",2014,Initial Experiences Using Vibratory Touchscreens to Display Graphical Math Concepts to Students with Visual Impairments,Mathematics education.//Students with disabilities.//Touch screens.//Vision disorders.//Open source software,"This article presents initial experiences using vibratory touchscreens and audible sounds to communicate graphical concepts in mathematics education to students with visual impairments. These studies are motivated by the prospect of displaying graphical and mathematical concepts typically taught in a highly visual manner through nonvisual channels. First, a touchscreen-based teaching paradigm for math education of individuals with visual impairments is introduced and hardware and software employing commercially available and open source components are presented. Then, pilot studies on user comprehension of grids and points--graphical entities students encounter early in K-12 mathematics education and that can serve as building blocks for more complex lessons--are presented. These studies, conducted with students with visual impairments, explore perception of objects through haptic feedback alone, auditory feedback alone, and combinations of the two. The results show that each student could successfully find and locate 100% of displayed points on a grid. These results, complemented with the positive qualitative feedback received from students and their teachers, suggest that vibratory touchscreens have the potential to be beneficial in the classroom for conveying graphical math concepts. "
thesis,"Hansen, M. ",2014,Helping children with autism learn with mathematics software,elementary school.//autism.//mathematics software.//language therapists.//Autism Spectrum Disorders.//Computer Assisted Instruction.//Developmental Disabilities.//Mathematics.//Treatment Effectiveness Evaluation,"Autism spectrum disorders are conditions where a person may exhibit developmental disabilities, significant social, communication and behavioral challenges, and process information differently than people without autism spectrum disorder. The Federal Government guidelines mandate inclusion of all students into the public school facilities. All school age children in the United States are afforded the same opportunities for public education. The goal of this investigation was to evaluate the effectiveness of Computer-Aided Instruction as a treatment for teaching mathematics to a group of autistic pupils in an elementary school environment. The public later elementary school is located in Kalamazoo, Michigan and had a student enrollment of 488 in grades 3-5 for the 2011-2012 school year (MDE; http://michigan.gov/mde, February 12, 2014). Questionnaires were used to gather feedback from teachers and itinerant staff, including social workers, psychologists and speech and language therapists. Data were gathered using tests developed by teachers and designed to meet state guidelines. Data analysis involved comparing the test scores of autism spectrum disorder pupils taught by Computer-Aided Instruction to those for pupils taught using conventional teacher-led instruction. The computer-based treatment (TeachTown® software) was compared to the traditional treatment of teacher-led instruction using data from pre- and post-testing as well as observation, and was shown to improve both pupil attentiveness (time on task) as well as math test scores. As schools, educators, staff and parents continue to wrestle with the adverse effects of increased numbers of diagnosed autism spectrum disorder pupils and decreased dollars dedicated to their human teachers, an option seems to lie in the use of Computer-Aided Instruction software and the focusing of resources in matching pupils to computers. It is recommended that school administration evaluate the cost of Computer-Aided Instruction and training as an option to monies appropriated to adding more teachers and teacher human aides. It is also recommended that more research be conducted to evaluate the use of Computer-Aided Instruction software with autism spectrum disorder pupils of larger population size and different socio-economic environments."
journal_article,"Herzberg, T. S., & Rosenblum, L. P.",2014,Print to Braille: Preparation and Accuracy of Mathematics Materials in K-12 Education,Authors.//Braille.//Computer software.//Students with disabilities.//Teaching aids.//Data analysis.//Continuing education units.//Children.//Analysis of variance.//Mathematics.//Questionnaires.//Statistics.//T-test (Statistics).//Translations.//Vision disorders.//Data analysis software,"Introduction: This study analyzed the accuracy of 107 mathematics worksheets prepared for tactile learners. The mean number of errors was calculated, and we examined whether there was a significant difference in the level of accuracy based on National Library Service for the Blind and Physically Handicapped (NLS) certification or job role of participants. Methods: The authors selected five work sheets representative of mathematics materials transcribed for K-12 students. After completing an online demographic survey, participants prepared at least one of the worksheets and completed an online transcription survey about how they prepared each worksheet. Results: The majority of the 59 participants spent less than 30 minutes transcribing each worksheet, and the predominant method for production was the use of braille translation software. Overall, participants had a high level of accuracy on the literary braille portions of the worksheets. There was variability in the accuracy of the Nemeth elements, formatting, and tactile graphic labels across the transcriptions. Significant differences existed between the means of errors in formatting and literary braille according to NLS certification status and, to a lesser extent, job role. There was not a significant difference in the accuracy of Nemeth elements in the majority of the worksheets according to certification status or job role. There were no significant differences in the preparation of the worksheets based on primary production method. Discussion: There was variability in how materials were prepared for tactile readers and in the quality of the transcriptions. Implications for practitioners: Variation in how materials are presented to tactile readers, including the formatting of headings and directions, can affect the ease of scanning and reading of materials. Inconsistencies, omissions, and errors have the potential to impact the ability of readers to understand and access information. "
journal_article,"Huscroft-D'Angelo, J., Higgins, K., & Crawford, L.",2014,COMMUNICATING MATHEMATICAL IDEAS IN A DIGITAL WRITING ENVIRONMENT: THE IMPACTS ON MATHEMATICAL REASONING FOR STUDENTS WITH AND WITHOUT LEARNING DISABILITIES,mathematical reasoning.//students with or without LD.//digital environment.//Social Work,"Mathematical reasoning is often underdeveloped in students with learning disabilities. Problem solving and reasoning represent one of the most important aspects of a mathematics curriculum. The purpose of the present study was to examine how communication through writing in mathematics via a digital environment impacts the mathematical reasoning of students with and without learning disabilities. Specifically, the research was guided by research questions: (1) What differences exist between the mathematical reasoning of students with and without learning disabilities prior to and after using a digital writing environment? (2) How does use of the digital writing environment differ between students with and without learning disabilities? (3) To what extent does student reasoning change overtime when emphasis is placed on communication via writing in mathematics? Oral reading and math fact fluency as well as participants' working memory were used as academic variables. The Math Reasoning Inventory (MRI; Burns, 2012) is a formative assessment designed to evaluate mathematical reasoning through a face-to-face interview. The primary focus is on core numerical reasoning strategies and understanding. Subjects participated in an intervention focused on communication in mathematics through the use of digital writing tools in a computer-based mathematics program. Results reveal that communication through writing or peer-based discussions around mathematics can impact students' reasoning skills. Reasoning is a fundamental skill in mathematics and remains an area in which students with learning disabilities continuously struggle; therefore, interventions focused on advancing student reasoning will be increasingly pivotal to mathematics education. Students in this study showed improvement in different areas of reasoning over the course of the intervention and responded differently to the types of writing environments that were offered. Regardless of which digital environment was preferred by students with and without learning disabilities, results demonstrated that incorporating writing into mathematics to communicate mathematical information benefited all students in this study and has the potential to impact mathematics education."
journal_article,"Huscroft-D'Angelo, J., Higgins, K., & Crawford, L.",2014,A Descriptive Study Examining the Impact of Digital Writing Environments on Communication and Mathematical Reasoning for Students with Learning Disabilities,learning disability.//mathematics.//technology.//writing mathematical.//reasoning.//education.//Education & Educational Research,"Proficiency in mathematics, including mathematical reasoning skills, requires students to communicate their mathematical thinking. Mathematical reasoning involves making sense of mathematical concepts in a logical way to form conclusions or judgments, and is often underdeveloped in students with learning disabilities. Technology-based environments have become a strategy to enhance students' reasoning in mathematics. Unfortunately, little research investigates the effects of technology on the reasoning skills of students with learning disabilities. This study examines the effects of an intervention intended to promote the communication of mathematical thinking through a digital writing environment for students with learning disabilities. We examined how students used the digital writing environment, the information communicated, and differences in mathematical reasoning for a small group of elementary students with learning disabilities (N = 13). Findings revealed students communicated primarily mathematical knowledge, preferred typing most of the time, and engaged in mathematical conversations with peers. Furthermore, significant differences in mathematical reasoning occurred over time."
journal_article,"Kaczorowski, T. L., & Raimondi, S.",2014,eWorkbooks for Mathematics: Mapping the Independent Learning Experiences of Elementary Students with Learning Disabilities,Workbooks.//Electronic Publishing.//Learning Experience.//Independent Study.//Elementary School Students.//Elementary School Mathematics.//Learning Disabilities.//Case Studies.//Video Technology.//Mathematics Instruction.//Technology Uses in Education.//Qualitative Research.//Grade 3.//Multimedia Materials.//Grounded Theory.//Technological Advancement,"In this paper, we describe a small case study exploring how four elementary students with mathematics learning disabilities utilized mobile technology (the eWorkbook) during core math instruction in a general education setting. The lead author designed the eWorkbook intervention to provide a flexible learning experience optimized for diverse learners. Sophisticated video-coding software was used to map the actions of the students as they engaged with the tool during the independent practice portion of math instruction. Results related to engagement, independence, accuracy, and specific affordances and barriers to learning with mobile technology are reported."
thesis,"LaRusso, C. A. ",2014,The impact of one-to-one laptop initiatives on the outcomes of students with disabilities,qualitative data.//digital technologies.//quantitative findings.//Academic Achievement.//Disabilities.//Laptop Computers.//Initiative,"Current legislation, particularly the Now Child Left Behind mandate and the most recent iteration of the Individuals with Disabilities Education Improvement Act, is having a significant impact on education. As school districts respond to these directives they are looking for research-based practices to teach both students with disabilities and their non-disabled peers. In hopes of bringing about a significant and positive impact on student outcomes, the integration of computer technologies, particularly one-to-one laptop initiatives, has become wide-spread and costly (Bebell & Kay, 2010). However, despite the promise that one-to-one laptop initiatives bring to the field of education, there is a lack of large-scale research studies that focus on the impact of digital technologies on teaching and learning (Penuel, 2006, Bebell & O'Dwyer, 2010). The primary purpose of this study is to examine the impact of Mooresville Graded School District's digital conversion and one-to-one laptop initiative on the academic achievement of its students with disabilities. Achievement data prior to the one-to-one laptop initiative and following implementation are compared using multiple chi-square tests. Data analysis indicate that the students did statistically significantly better on the Math and Reading End-of-Grade tests based on the frequency of pass rate. In an effort to deepen the scope of the project, the researcher also included a qualitative component. An examination of the perceptions of the special education teachers helping to implement the technology initiative is conducted through a Likert style survey. Analyses of this qualitative data indicate agreement and support of the quantitative findings. "
journal_article,"Lewis, K. E.",2014,Difference Not Deficit: Reconceptualizing Mathematical Learning Disabilities ,Learning disabilities.//Mathematics education.//Students with disabilities.//Academic achievement.//Tutors & tutoring.//Mathematical models,Mathematical learning disability research often conflates low achievement with disabilities and focuses exclusively on deficits of students with mathematical learning disabilitiess. In this study I adopt an alternative approach using a response-to-intervention mathematical learning disabilities classification model and identify the resources students draw upon rather than the skills they lack. The intervention model involved videotaped one-on-one fraction tutoring sessions implemented with students with low mathematics achievement. This article presents case studies of two students who did not benefit from the tutoring sessions. Detailed diagnostic analyses of the sessions revealed that the students understood mathematical representations in atypical ways and that this directly contributed to the persistent difficulties they experienced. Implications for screening and remediation approaches are discussed. 
journal_article,"Mulcahy, C. A., Maccini, P., Wright, K., & Miller, J.",2014,An Examination of Intervention Research with Secondary Students with EBD in Light of Common Core State Standards for Mathematics,Academic achievement.//Computer assisted instruction.//ERIC (Information retrieval system).//High school students.//Peer counseling.//self-evaluation.//Children with disabilities.//Psychology information storage & retrieval systems.//Mathematics.//self-management (Psychology).//Systematic reviews (Medical research).//Medical coding,"In this review, the authors offer a critical analysis of published interventions for improving mathematics performance among middle and high school students with emotional/behavioral disorders in light of the Common Core State Standards. An exhaustive review of literature from 1975 to December 2012 yielded 20 articles that met criteria for inclusion. The authors analyzed the body of research for the nature of participants, settings, interventionists, interventions, and alignment with Common Core State Standards. Despite limitations with the body of research, the results of the review indicate a number of promising practices exist for secondary students with emotional/behavioral disorders in mathematics, including: (a) peer-mediated approaches, (b) interventions that address academic performance as well as behavior, (d) use of technology, and (e) use of strategy instruction to support conceptual understanding. Implications for research and practice are provided "
journal_article,"Pareto, L. ",2014,Mathematical literacy for everyone using arithmetic games,Mathematical understanding.//learning game.//intellectual disability.//special education.//arithmetic.//Games.//Learning.//Mathematical Ability.//Intellectual Development Disorder.//Disabilities.//Literacy,"An innovative mathematics game shown to be effective for low-achieving mainstream students is tested with learners in special education with moderate or severe intellectual disabilities in Sweden, to investigate if the game can also be effective for this group of students. The game relies on a graphical, intuitive representation for numbers and arithmetic operations to foster conceptual understanding and numbers sense, and provides a set of 2-player games to develop strategic thinking and reasoning skills. The game runs on computers and interactive white boards, and as an augmented reality application at a science centre. The study enrolled three teachers and eight students in 5th to 8th grade with intellectual disabilities who played the game over a period between four months and two years, one student with Asperger syndrome, and over 300 students in mainstream education as comparison. We compare the use of the game in special education and mainstream education with respect to usage, performance levels and learning gains. Collected data include game playing logs for all students where playing behaviour, performance, and progression data was analysed; class room and science centre observations where interaction, collaboration and communication was analysed, and on in-depth interviews with the teachers. The conclusion is that the game in combination with dedicated teachers can be very effective for students with intellectual disabilities, and can result in substantial gains in mathematical understanding and strategic thinking as well as in communication skills, given time and proper support. "
thesis,"Russell, R. ",2014,The impact of using calculators as an accommodation on the math achievement of students with learning disabilities,paired samples.//cognitive deficit theory.//improved performance.//causal-comparative research design.//Cognitive Impairment.//Learning Disabilities.//Learning.//Special Education.//Digital Computers.//Teaching,"The impact of using the calculator as a standard accommodation during the instruction and assessment of students with learning disabilities has not been sufficiently investigated. The purpose of this study was to determine if the use of the calculator in grades 6, 7 and 8, as a standard accommodation during math instruction and assessment contributed to improved performance for students with learning disabilities. These students struggled with math and received special education services in this academic area before and during the use of the accommodation. The researcher also investigated whether the effect of this accommodation varied with the type of special education program awarded (inclusion, resource, self-contained). The theoretical foundation of the study was cognitive deficit theory that focused on working memory deficits. A quantitative, causal-comparative research design was conducted using archival data from a small school district to compare the performance of the students with learning disabilities on the grade level state standardized assessment before the implementation of the calculator as a standard accommodation and afterwards. The results of paired samples t tests and a two-way mixed ANOVA were statistically significant, showing that students who used the calculator performed at a higher level. The special education program did not influence the effect of using the calculator; all students with learning disabilities benefitted from using this accommodation. The implications of these findings suggest that calculators allow students with learning disabilities to learn key concepts by addressing the cognitive deficit challenges of retrieving basic math facts. "
thesis,"Saunders, A. F. ",2014,Effects of schema-based instruction delivered through computer-based video instruction on mathematical word problem solving of students with autism spectrum disorder and moderate intellectual disability,autism spectrum disorder.//intellectual disability.//video instruction.//problem solving.//mental retardation.//Autism Spectrum Disorders.//Teaching.//Intellectual Development Disorder.//School Graduation.//Word Problem,"The Common Core State Standards initiative calls for all students to be college and career ready with 21st century skills by high school graduation, yet the question remains how to prepare students with autism spectrum disorders and moderate intellectual disability with higher order mathematical concepts. Mathematical problem solving is a critical, higher order skill that students need to have in order to solve real-world problems, but there is currently limited research on teaching problem solving to students with autism spectrum disorders and moderate intellectual disability. This study investigated the effects of schema-based instruction delivered through computer-based video instruction on the acquisition of mathematical problem solving skills, as well as the ability to discriminate problem type, to three elementary-aged students with autism spectrum disorders and moderate intellectual disability using a single-case multiple probe across participants design. The study also examined participant's ability to generalize skills to a paper-and-pencil format. Results showed a functional relation between schema-based instruction delivered through computer-based video instruction and the participants' mathematical word problem solving skills, ability to discriminate problem type, and generalization to novel problems in paper-and-pencil format. The findings of this study provide several implications for practice for using computer-based video instruction to teach higher order mathematical content to students with autism spectrum disorders and moderate intellectual disability, and offers suggestions for future research in this area. "
